year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
2017,6,13,9,"50,1","0,2",1,4,0,0,2,2,,0,PMO,,0,310,4,1,,98,2,0,"1021,5",4,0,0,"15,5",0,"13,8",,"12,4",0,"15,2",1,0,0,,9,0,5,,0,0,23,5,0,,142,0,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NN2EPM,3,0,1,0,1,13/06/2017 9:00:00
2017,1,15,6,"24,8",-80,1,4,0,0,1,3,,1,3EUS,,0,90,4,"11,8",,98,2,1,1021,0,1,0,24,0,18,,"13,8",,"26,7",5,3,4,,5,4,4,,10,"2,5",9,10,"2,5",,241,40,992,114,5,1,2,,,,,,,1,111111,11111111111111,,,,N432CZ,3,0,1,0,1,15/01/2017 6:00:00
2017,1,10,7,"20,1","-82,7",1,4,0,0,3,4,,1,3EUS,,0,,4,,,98,25,8,1020,4,0,0,24,0,17,,"11,7",,"27,5",6,6,8,,6,9,A,,10,3,6,10,3,,241,2,992,114,5,1,2,,,,,,,1,116112,11111111111111,,,,N3GHJB,3,0,1,0,1,10/01/2017 7:00:00
2017,8,19,12,"-15,7","-20,9",1,4,0,0,3,3,,1,7JCO,,0,110,4,"8,7",,98,80,8,1019,1,"1,5",0,23,0,20,,"18,3",1,"23,6",7,6,7,,2,7,8,,4,2,7,6,"2,5",,391,50,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NVNV9S,3,0,1,0,1,19/08/2017 12:00:00
2017,1,20,13,"34,4","22,3",1,4,0,0,2,4,,1,7JDN,,0,50,3,"10,8",,98,3,2,"1032,3",5,"1,6",0,14,0,13,,"12,2",3,16,5,2,1,,3,4,5,,5,3,5,5,3,,216,42,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,N4RIJ3,3,0,1,0,1,20/01/2017 13:00:00
2017,6,11,3,"24,1","137,3",1,4,0,0,5,3,,1,7JVS,,0,50,4,18,,98,1,0,"1011,7",7,"0,6",0,29,0,27,,"26,3",1,30,3,2,2,,7,1,4,,4,2,2,4,1,,227,47,992,114,5,1,2,,,,,,,2,112411,11111111111111,,,,NMRX4H,3,0,1,0,1,11/06/2017 3:00:00
2017,6,11,21,"20,7","135,2",1,4,0,0,5,3,,1,7JVS,,0,40,4,"11,8",,98,2,1,"1012,4",7,"0,5",0,29,0,27,,"26,3",1,33,7,7,2,,8,3,3,,1,1,3,1,1,,227,5,992,114,5,1,2,,,,,,,2,511411,11111111111111,,,,NMVFKB,3,0,1,0,1,11/06/2017 21:00:00
2017,4,12,17,"19,3",-106,1,4,0,0,7,5,,1,BKIE,,0,20,4,"5,1",,98,2,0,1014,1,2,0,27,0,21,,"18,1",3,27,1,1,1,,0,0,0,,10,"0,5",6,10,"0,5",,275,96,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NF48ZN,3,0,1,0,1,12/04/2017 17:00:00
2017,4,11,23,"16,3","-100,3",1,4,0,0,7,5,,1,BKIE,,0,300,4,"6,7",,98,2,2,1012,6,1,0,31,0,27,,"25,7",3,30,5,1,1,,5,6,2,,5,1,21,5,1,,275,60,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NF0SXF,3,0,1,0,1,11/04/2017 23:00:00
2017,8,5,18,"-9,3","-148,3",1,4,0,0,7,4,,1,CQCU,,0,100,3,"9,3",,97,0,0,"1014,7",2,"1,4",0,"28,1",0,"25,1",,24,3,27,2,2,1,,4,6,A,,4,1,16,8,2,,343,98,992,114,5,1,2,,,,,,,2,111111,11111111111111,,,,NTXTPX,3,0,1,0,1,5/08/2017 18:00:00
