wind_direction_true,wind_speed,wave_height,swell_direction,swell_height
310.0,1.0,0.0,23,0.0
90.0,11.8,2.5,9,2.5
174.0,8.0,3.0,6,3.0
110.0,8.7,2.0,7,2.5
50.0,10.8,3.0,5,3.0
50.0,18.0,2.0,2,1.0
40.0,11.8,1.0,3,1.0
20.0,5.1,0.5,6,0.5
300.0,6.7,1.0,21,1.0
100.0,9.3,1.0,16,2.0
90.0,6.2,1.0,38,1.5
90.0,4.1,0.5,24,1.5
50.0,3.6,0.5,38,1.5
110.0,7.7,1.0,16,2.5
220.0,9.3,1.5,20,2.0
60.0,7.2,1.0,9,1.5
330.0,6.2,1.0,2,2.0
120.0,11.3,1.0,12,2.0
50.0,11.3,2.0,14,2.0
140.0,7.2,0.5,14,2.0
360.0,7.7,1.0,23,2.0
260.0,6.2,1.5,24,1.5
130.0,10.8,2.0,16,2.5
210.0,5.7,1.0,21,1.0
200.0,10.3,2.0,23,2.5
70.0,4.6,0.5,8,1.0
210.0,11.3,4.5,22,3.0
90.0,7.7,2.0,29,3.0
20.0,4.1,0.5,32,0.5
200.0,4.6,0.5,30,1.0
80.0,9.3,1.5,6,2.0
250.0,7.7,2.5,24,2.5
240.0,11.8,1.5,23,3.0
50.0,9.8,1.0,5,1.5
290.0,6.2,1.0,17,2.0
240.0,10.8,2.0,25,2.0
360.0,7.7,1.0,34,3.0
160.0,6.2,1.0,25,1.5
220.0,7.2,1.0,33,4.0
40.0,5.7,2.0,5,2.5
90.0,10.3,2.0,6,2.0
170.0,3.6,0.5,4,1.0
230.0,9.3,2.0,18,2.0
300.0,6.2,1.5,33,1.5
360.0,4.1,0.5,12,1.5
320.0,5.1,0.5,21,2.0
230.0,7.7,1.0,24,0.5
10.0,3.1,0.0,11,0.5
270.0,7.7,1.0,34,1.0
190.0,10.3,0.5,20,1.5
300.0,14.4,3.0,30,3.0
360.0,8.7,1.0,18,1.0
290.0,10.3,1.0,33,3.0
240.0,11.3,2.0,5,2.0
20.0,2.1,0.0,14,1.0
160.0,8.7,1.5,7,3.0
320.0,9.3,1.0,29,1.5
230.0,9.8,0.5,2,3.0
260.0,6.2,1.0,32,2.5
220.0,7.7,0.5,22,1.0
160.0,14.4,2.5,4,2.5
140.0,17.0,4.5,12,4.5
70.0,2.6,2.0,2,2.0
10.0,5.1,0.5,34,1.5
280.0,19.0,1.5,31,2.5
280.0,25.7,3.0,28,3.0
10.0,3.6,0.5,3,1.5
260.0,6.7,1.5,24,1.0
210.0,19.0,4.5,23,4.5
360.0,12.9,2.0,36,3.0
90.0,7.7,2.5,9,3.0
180.0,6.2,0.5,18,2.0
180.0,16.5,3.5,23,4.5
90.0,10.3,3.0,6,3.5
90.0,9.3,2.0,9,2.5
180.0,9.8,2.0,22,2.5
200.0,7.2,3.0,18,3.5
360.0,9.3,2.0,36,2.0
120.0,10.3,0.5,13,0.5
140.0,7.7,4.0,15,4.0
100.0,8.2,1.5,11,1.0
90.0,4.1,0.5,9,0.5
140.0,6.2,1.5,11,1.5
90.0,5.7,1.0,8,1.0
180.0,8.7,1.0,16,1.0
110.0,10.3,2.0,12,2.0
50.0,9.3,4.0,5,4.0
90.0,8.2,0.5,11,0.5
70.0,10.3,2.0,9,3.0
90.0,8.7,0.5,13,1.0
90.0,6.2,0.5,11,1.5
80.0,7.7,1.0,9,1.0
140.0,10.3,1.0,11,3.0
180.0,2.1,0.0,14,0.5
300.0,11.3,1.0,29,1.0
100.0,3.6,0.5,27,0.5
250.0,6.7,1.5,23,2.0
140.0,5.1,0.5,14,1.0
30.0,5.7,1.5,5,1.0
240.0,8.7,0.5,32,1.0
180.0,6.2,1.0,18,2.0
110.0,11.3,1.5,10,2.0
20.0,5.1,0.5,38,2.0
80.0,9.3,1.5,9,2.0
330.0,13.9,3.5,35,4.0
250.0,9.8,2.5,27,2.5
240.0,3.1,0.5,11,1.0
250.0,5.1,1.5,30,2.0
80.0,12.9,2.5,9,3.5
50.0,7.7,1.0,9,1.0
360.0,11.8,1.0,24,2.0
260.0,9.8,1.0,25,2.0
340.0,5.1,0.5,27,1.0
300.0,12.3,1.5,29,2.0
140.0,7.2,1.0,11,2.5
20.0,15.4,3.5,7,3.0
330.0,4.6,0.5,26,2.5
180.0,2.6,0.5,24,1.0
280.0,12.9,2.0,28,2.5
340.0,12.3,1.0,32,1.5
220.0,7.2,1.0,38,1.5
180.0,7.7,1.0,28,3.0
140.0,7.7,1.5,14,2.0
170.0,2.6,0.5,17,0.5
90.0,9.3,1.0,7,1.0
240.0,5.7,0.5,29,1.0
230.0,2.1,0.0,3,1.0
50.0,11.3,1.0,5,2.0
70.0,7.7,1.0,5,2.0
130.0,8.7,1.0,10,2.5
120.0,7.2,1.0,12,1.5
290.0,7.7,0.5,34,1.0
190.0,3.1,0.5,5,0.5
250.0,6.2,1.0,20,1.5
90.0,2.6,1.0,7,2.5
220.0,10.3,1.0,24,1.0
30.0,12.9,3.0,30,2.5
290.0,7.2,0.5,12,1.0
50.0,10.3,0.5,11,1.0
50.0,8.2,0.5,4,1.5
130.0,8.2,1.0,13,3.0
230.0,13.9,2.5,24,3.0
190.0,12.9,1.5,23,3.0
50.0,13.4,2.0,36,0.5
20.0,4.1,0.0,1,1.0
340.0,2.6,0.0,4,1.5
90.0,7.7,1.0,15,2.0
10.0,7.7,0.5,15,2.0
150.0,10.3,1.5,38,2.0
360.0,5.1,0.5,18,4.0
