,wind_direction_true,wind_speed,wave_height,swell_direction,swell_height
0,330.0,7.2,0.5,35,1.0
1,70.0,7.2,2.0,18,2.0
2,170.0,2.1,0.0,14,0.5
3,80.0,13.9,3.0,33,4.0
4,70.0,10.8,2.0,36,2.5
5,30.0,2.1,0.0,23,0.5
6,140.0,8.7,1.5,38,1.5
7,300.0,11.3,2.5,29,2.5
8,100.0,8.0,1.5,5,2.0
9,310.0,11.3,0.0,23,0.0
10,300.0,17.5,3.5,23,3.0
11,30.0,5.1,0.5,8,2.0
12,70.0,12.3,1.5,30,1.5
13,190.0,4.1,0.5,32,1.0
14,120.0,9.3,0.0,27,0.0
15,50.0,11.8,2.0,15,1.0
16,200.0,5.1,0.5,18,2.0
17,250.0,17.0,4.5,12,4.5
18,190.0,5.7,1.0,11,1.5
19,180.0,5.1,0.5,7,1.0
20,120.0,7.2,0.5,18,1.0
21,310.0,1.0,1.0,1,0.0
22,130.0,6.7,0.0,23,2.0
23,210.0,9.3,1.5,9,2.0
24,190.0,15.4,3.0,32,1.5
25,30.0,2.1,0.0,14,1.0
26,170.0,6.7,0.5,5,1.0
27,180.0,2.6,0.0,23,0.0
28,340.0,6.2,0.5,30,3.5
29,270.0,7.2,3.0,32,2.0
30,250.0,10.8,2.0,15,2.5
31,80.0,15.4,2.5,30,5.0
32,90.0,12.3,1.5,10,2.0
33,40.0,14.4,3.5,4,3.5
34,100.0,9.3,0.5,32,2.0
35,180.0,3.1,0.0,9,1.0
36,260.0,11.3,2.5,24,3.5
37,30.0,2.1,0.0,14,2.0
38,360.0,8.2,1.0,5,1.0
39,360.0,12.9,1.5,2,1.5
40,80.0,8.7,1.5,7,2.0
41,310.0,6.7,0.0,23,0.0
42,290.0,7.2,1.5,24,1.0
43,210.0,6.7,1.0,7,2.0
44,350.0,12.3,0.5,30,1.5
45,30.0,14.4,3.5,5,3.5
46,260.0,15.4,2.5,24,5.0
47,250.0,17.5,3.5,25,5.5
48,70.0,8.0,2.0,3,2.0
49,290.0,6.2,1.5,24,1.0
50,120.0,10.3,2.0,29,2.0
51,230.0,10.3,1.0,3,3.0
52,10.0,9.8,1.0,1,1.0
53,180.0,2.1,0.0,14,3.5
54,110.0,7.2,0.5,29,2.5
55,280.0,12.9,3.0,5,1.5
56,230.0,15.4,1.0,5,2.0
57,330.0,6.7,0.0,6,1.5
58,270.0,2.1,0.0,16,1.0
59,140.0,2.6,0.5,14,2.0
60,100.0,8.2,2.5,11,2.0
61,10.0,7.2,0.5,15,1.5
62,30.0,4.6,0.0,2,0.5
63,260.0,15.4,2.5,25,2.5
64,310.0,1.0,0.0,23,0.0
65,240.0,5.7,0.5,11,1.5
66,350.0,1.0,0.0,23,0.0
67,90.0,3.1,0.5,26,3.5
68,310.0,1.0,0.0,23,0.0
69,50.0,6.2,2.0,2,2.0
70,330.0,12.3,1.0,30,1.5
71,90.0,7.2,1.5,6,1.5
72,160.0,2.1,0.0,21,0.5
73,190.0,10.3,0.0,5,1.5
74,200.0,7.2,0.5,32,2.0
75,210.0,17.0,4.5,12,4.5
76,310.0,1.0,0.0,23,0.0
77,50.0,2.1,0.0,5,1.0
78,220.0,6.2,3.5,21,2.0
79,350.0,3.6,0.5,10,1.5
80,30.0,9.8,0.0,14,0.5
81,80.0,12.9,1.5,24,2.5
82,10.0,7.2,0.0,14,0.5
83,130.0,13.4,1.0,13,0.5
84,300.0,12.9,2.5,33,5.0
85,180.0,14.4,3.5,28,3.5
86,180.0,18.0,1.0,4,1.0
87,270.0,8.0,2.0,15,2.0
88,320.0,9.3,1.0,16,1.0
89,250.0,15.4,1.5,31,2.5
90,90.0,10.3,1.0,34,3.0
91,90.0,5.7,1.5,12,1.5
92,250.0,15.4,2.5,5,5.0
93,90.0,5.1,0.5,18,1.0
94,290.0,11.3,1.0,5,2.0
95,90.0,3.6,0.5,7,1.0
96,90.0,5.7,1.5,4,2.0
97,230.0,10.8,1.5,34,1.5
98,350.0,16.5,0.0,23,0.0
99,140.0,6.7,0.0,27,1.0
100,240.0,10.3,1.0,33,2.0
101,140.0,7.2,2.0,9,2.0
102,310.0,6.7,0.0,23,5.0
103,290.0,13.9,3.5,24,5.0
104,30.0,5.7,0.0,7,1.0
105,240.0,7.7,1.0,29,2.0
106,20.0,4.1,0.5,11,1.0
107,310.0,1.0,0.0,23,0.0
108,130.0,1.0,0.0,23,0.0
109,70.0,18.0,4.5,12,4.5
110,80.0,6.2,2.0,5,2.0
111,50.0,3.6,0.0,4,1.5
112,200.0,5.1,0.5,18,0.5
113,240.0,14.4,3.5,4,3.5
114,310.0,1.0,0.0,23,0.0
115,170.0,6.7,0.0,19,2.0
